Type,Title,Author,Genres,Status,Image
Book,"59 Seconds: Think a Little, Change a Lot",Richard Wiseman,Life Advice,Finished,https://m.media-amazon.com/images/I/51pMOjbgKwL.jpg
Book,The Barefoot Investor,Scott Pape,Investing,Finished,https://m.media-amazon.com/images/I/61k5ACBdpJL.jpg
Book,Legacy: What the All Blacks Can Teach Us about the Business of Life,James Kerr,"Business, Sport, Life Advice",Finished,https://m.media-amazon.com/images/I/9136Vuwyj9L._SL1500_.jpg
Book,Shape Up: Stop Running In Circles and Ship Work that Matters,Ryan Singer,"Software, Business",Finished,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1569345815l/50776459.jpg
Book,"80,000 Hours",Benjamin Todd,"Life Advice, Self-Improvement",Finished,https://m.media-amazon.com/images/I/518L8FRT8lL._SL1500_.jpg
Book,"Getting Real: The smarter, faster, easier way to build a successful web application",Ryan Singer,"Software, Business",Finished,https://m.media-amazon.com/images/I/41LuOJpv5pL._SL1500_.jpg
Book,Quantitative Trading,Ernest P. Chan,"Quant Trading, Software",Finished,https://m.media-amazon.com/images/I/51bYL+AG5hS._SL1500_.jpg
Book,The E-Myth Revisited,Michael E. Gerber,Business,Finished,https://m.media-amazon.com/images/I/81XHTPSeqAL.https://m.media-amazon.com/images/I/41yS04rc0TL._SL1500_.jpg
Book,100 Baggers,Christopher Mayer,Investing,Finished,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1450614134i/28250756.jpg
Book,Broken Business,José R. Hernandez,Business,Finished,https://m.media-amazon.com/images/I/41yS04rc0TL.jpg
Book,Zero to One,Peter Thiel,Business,Finished,https://m.media-amazon.com/images/I/71uAI28kJuL._SL1500_.jpg
Book,Steve Jobs,Walter Issacson,"Biography, Business",Finished,https://m.media-amazon.com/images/I/81vhsD+QgKL._SL1500_.jpg
Book,Shoe Dog,Phil Knight,Business,Finished,https://m.media-amazon.com/images/I/717LHuYp7uL._SL1500_.jpg
Book,Can’t Hurt Me,David Goggins,"Autobiography, Self-Improvement",Finished,https://m.media-amazon.com/images/I/81gTRv2HXrL._SL1500_.jpg
Book,Luka Modrić,Luka Modrić,"Autobiography, Life Advice, Sport",Finished,https://m.media-amazon.com/images/I/81PiFD5AVaL._SL1500_.jpg
Book,101 Essays that will Change the Way You Think,Brianna Wiest,"Life Advice, Self-Improvement",Finished,https://m.media-amazon.com/images/I/71iZi2LqK8L._SL1500_.jpg
Book,Outliers: The Story of Success,Malcolm Gladwell,Self-Improvement,Finished,https://m.media-amazon.com/images/I/71hq+FB1jJL._SL1500_.jpg
Book,Bitcoin Billionaires,Ben Mezrich,Business,Finished,https://m.media-amazon.com/images/I/81McTsgAsgL._SL1500_.jpg